daily_record_id,location_key,date_utc,date_key,aqi_daily_max,dominant_pollutant_daily,hours_in_cat_good,hours_in_cat_moderate,hours_in_cat_usg,hours_in_cat_unhealthy,hours_in_cat_very_unhealthy,hours_in_cat_hazardous,hours_measured,data_completeness
33ed2074-1056-4fb4-9906-9f6c6dcfd6e8,danang,2024-01-01,20240101,58,pm25,0,24,0,0,0,0,24,100.0
0a75c4ca-58c2-4577-8b73-429630e00ade,danang,2024-01-02,20240102,58,pm25,0,24,0,0,0,0,24,100.0
570a8254-aea2-4a60-a671-f1e403a2e493,danang,2024-01-03,20240103,64,pm25,0,24,0,0,0,0,24,100.0
f18c6cea-fe13-4ed7-9f95-28e249206b55,danang,2024-01-04,20240104,78,pm25,0,24,0,0,0,0,24,100.0
bc9b89b0-df9f-4e83-ac4f-ecad692e8740,danang,2024-01-05,20240105,66,pm25,0,24,0,0,0,0,24,100.0
8f49e619-dd1d-4670-99b0-4e96f7302cb8,danang,2024-01-06,20240106,63,pm25,0,24,0,0,0,0,24,100.0
4e32665b-be83-4c30-aeaf-cea018a35eb3,danang,2024-01-07,20240107,67,pm25,0,24,0,0,0,0,24,100.0
54e979e8-d57c-499c-863d-122722db2a20,danang,2024-01-08,20240108,64,pm25,0,24,0,0,0,0,24,100.0
07e8d759-dfa4-434a-a04e-ade8b3fead27,danang,2024-01-09,20240109,60,pm25,0,24,0,0,0,0,24,100.0
043abdd4-bf11-4d14-b28c-d33c959dea43,danang,2024-01-10,20240110,55,pm25,0,24,0,0,0,0,24,100.0
e1203afe-2819-4aa6-8676-1fd20f403e7a,danang,2024-01-11,20240111,68,pm25,0,24,0,0,0,0,24,100.0
94b86cbb-eaa8-4b47-aa05-858058b13ecc,danang,2024-01-12,20240112,87,pm25,0,24,0,0,0,0,24,100.0
1ae777b2-f372-4707-88e4-909d5d9fb57f,danang,2024-01-13,20240113,66,pm25,0,24,0,0,0,0,24,100.0
85f8efc9-5827-4b72-8a7e-25f77d8d7ec1,danang,2024-01-14,20240114,63,pm25,0,24,0,0,0,0,24,100.0
033c6e66-c04d-4e06-b26f-03308c93ec18,danang,2024-01-15,20240115,63,pm25,0,24,0,0,0,0,24,100.0
f51d0d8e-4b8e-492b-bb3d-95df9ffd6e7f,danang,2024-01-16,20240116,67,pm25,0,24,0,0,0,0,24,100.0
f0aee56a-fb4d-4a8b-8174-9a32045e2c2f,danang,2024-01-17,20240117,64,pm25,0,24,0,0,0,0,24,100.0
b51422d0-06a4-4519-872a-65c009eeb5ea,danang,2024-01-18,20240118,63,pm25,0,24,0,0,0,0,24,100.0
e2000b20-1a0c-4643-b242-671f62bd966f,danang,2024-01-19,20240119,59,pm25,5,19,0,0,0,0,24,100.0
06b7858b-dbab-4104-b280-885d75b4a66f,danang,2024-01-20,20240120,49,pm25,24,0,0,0,0,0,24,100.0
67d318fc-c3d0-4838-b37c-14a66de253c2,danang,2024-01-21,20240121,52,pm25,17,7,0,0,0,0,24,100.0
137eedef-e07b-4b42-8c2d-7bc594e411fc,danang,2024-01-22,20240122,57,pm25,0,24,0,0,0,0,24,100.0
d15e72ef-4b43-42e0-a0cb-469d088e85fa,danang,2024-01-23,20240123,59,pm25,0,24,0,0,0,0,24,100.0
8e6c0d1c-faaf-4bdd-a567-749f09992596,danang,2024-01-24,20240124,69,pm25,0,24,0,0,0,0,24,100.0
bff1eebf-318e-4fe6-a221-920c3422b56d,danang,2024-01-25,20240125,71,pm25,0,24,0,0,0,0,24,100.0
f2ee8021-c190-4e68-83f5-2ad89971c472,danang,2024-01-26,20240126,69,pm25,0,24,0,0,0,0,24,100.0
1b4cf033-f50b-499c-aaca-70329b6717a2,danang,2024-01-27,20240127,65,pm25,0,24,0,0,0,0,24,100.0
65ce5c1f-474e-4b2c-bc09-b1f1df71e39c,danang,2024-01-28,20240128,61,pm25,0,24,0,0,0,0,24,100.0
0411a4f4-3e81-43cb-8d21-77ff0cbc1c57,danang,2024-01-29,20240129,103,pm25,0,22,2,0,0,0,24,100.0
2b8cf346-2ca9-480a-8511-ef7451370f87,danang,2024-01-30,20240130,96,pm25,2,22,0,0,0,0,24,100.0
f2912ecf-d38c-4fd5-8330-7cdc6c2d64d1,danang,2024-01-31,20240131,62,o3,19,5,0,0,0,0,24,100.0
6e49be57-8463-473c-8aed-8e90c79e9642,danang,2024-02-01,20240201,63,pm25,19,5,0,0,0,0,24,100.0
6a861abe-fda9-4c49-8c5d-c6fa6b76a8c7,danang,2024-02-02,20240202,51,pm25,22,2,0,0,0,0,24,100.0
c6a4d90e-18b0-4cad-93f6-f8a67202e18f,danang,2024-02-03,20240203,46,pm25,24,0,0,0,0,0,24,100.0
